author,content
"
出门太难
","


接到前女友发来的信息后，我激动得觉都睡不着了：我老公出了车 祸，送进医院了，看上去很严重！！为了抓住这个千载难逢的机会，我对她大献殷勤，百般讨好，就差告诉她，别怕，哥一直等着你呢……我发了几十条，前女友一条没回！我更兴奋了，以为某人肯定不在了，她正忙着料理后事，没空搭理我……今天中午，前女友终于回信息了：对不起啊！本来是发给我哥的，错发给你了！……你谁啊？我们认识么？？我的心一下子凉透了！卧槽！！白高兴了，害得我白白死 了好几十个脑细胞……

夜很长……心很凉！："
"
吃了两碗又盛
","


儿子要写一篇关于母爱的作文，就跟他妈妈说:这几天你要表现好点啊，不然我没有写作素材。我媳妇深以为然，积极地树立慈母形象，儿子过得跟土皇帝似的，也导致了作文迟迟没有完成。

骑着二哈啃黄瓜："
"
净心居士
","


认识胖丫后，我把烟给戒了。朋友们说我有意志力，但是你们不知道的是我每抽一根烟胖丫就抽我一巴掌。。。

穿着拖孩逛该："
"
王飞王飞王飞
","


小时候家里养过一只猫和一只狗，狗总是被猫欺负，不是狗憨厚，而是斗不过猫，比如猫藏在鞋盒偷袭狗 狗只能绕着鞋盒转圈，后来狗去世了，猫没看见它去世的样子，只是没见狗回来，半年过去了，有天我故意在门口喊了声狗的名字，猫从屋里飞奔到门口左右张望。

"
"
孤心傲月
","


女友无聊唱《好爸爸》她唱一句我答应一句唉，闹着闹着不知他爸什么站在我背后，她站起来喊了句爸，我答应了句唉才发现岳父的巴掌抽了过来！慌乱中我大喊：哥  哥我错了！还tm让我多加20万彩礼！这是什么情况啊？？？

骑着二哈啃黄瓜："
"
套着鸭子去戏水
","


儿子这段时间正为换牙而苦恼。侄女来家看到后对他说：弟弟，你那牙别傻乎乎的等它自己掉了。上次我们班两男同学打架，打掉了一颗牙，今天才知道，赔了一万多块呢！

骑着二哈啃黄瓜："
"
胖香
","


跟我妈讲了个笑话:“娃儿跟着视频上学习做双皮奶，把电饭煲上的蒸笼放在锅上蒸，塑料的啊，全化了，气的我都想揍她！”我妈:“孩子有这个兴趣，你得鼓励她，这次错了，下次她就不会再犯这样的错误了。”这么通情达理的妈妈去哪找，我痛快的承认其实做双皮奶的是我……呵呵，擀面杖都飞出来了！

骑着二哈啃黄瓜："
"
-小门神~
","


有只喜鹊上个月，在我家后院树上做窝。今早我怂恿侄子:喜鹊窝里应该有幼鸟了，你去抓来咱们养着，好吧？侄子说好，他连忙付诸行动！过了半天，他灰头土脸地回来，脸上青一块紫一块！我忙问怎么了，他答:我爬树上，刚要掏，从喜鹊窝里跳出来两只斑鸠！两只大斑鸠啄我脸，好疼好疼！叔叔，你说是喜鹊窝呀，怎么里面住的是斑鸠？我也不知道啊…[嘿嘿]

骑着二哈啃黄瓜："
"
骑着二哈啃黄瓜
","


昨天在早餐点，买了两份早餐，实际给了三份，付了两份的钱。今天早上又去这个早餐点，和老板说了这事，准备补钱给他。老板：如果昨天自己过错，今天还要别人买单，那还有明天什么事，你那么乖，就当福缘深厚受了吧。。。看着排队的长龙，我很惭愧：我这不挑人多的时候特定讲这个事贝者你会做 广 告不收我的钱!

穿着拖孩逛该："
"
五少爷的刀
","


今天未婚妻过来，看见我脸上的黑 眼 圈很心疼:别太累了，钱我们一起赚，彩 礼我让我爸别收了！！我:没事，只是连续加了三个晚上的班，今天不就休息了吗？！未婚妻说：一定要注意身体健康，劳逸结合，如果你累垮了，我将来怎么办啊？！看着未婚妻情真意切的眼神，我无地自容！！真特么愧疚，以后打农药坚决不熬夜了！！……

无书斋主："
"
无书斋主
","


一岁两个月的儿子，走路跌跌撞撞，隔壁栋有个女娃和儿子差不多大，但她走路稳多了！！昨天带娃在玩滑滑梯时，平时是爷爷带的女娃是她妈妈带，儿子和那女娃玩得很开心，我呢，必须看着儿子……大约玩了一个小时，女娃的爷爷来了，他盯我，对女娃的妈说:在这里玩了一个小时，也不知道换个地方！……特么，你说你儿媳妇盯着我干嘛！！！……

骑着二哈啃黄瓜："
"
骑着二哈啃黄瓜
","


楼下新开一家羊肉馆，闺蜜和带我去，吃羊蹄子，她平时能吃六7个的那种。。。老板问:两位吃啥？闺蜜大大咧咧说:来一打羊蹄子，四副碗筷，一会儿还有两个朋友过来。老板愉快的去安排了。。。到了买单的时候，闺蜜捂住圆滚滚的肚子，使劲和老板埋怨:朋友放我鸽子没过来，害我都吃撑到了。。。

叶vVv枫："
"
我是谁∽谁是我
","


刚才去公司拿资料。。。。。见老板娘和老板正在吵架，准备拿了资料走人。老板娘拉着我，给我两条烟，说是早上刚买的。我说：要不要给老板留一条？她说：就是给讨饭的都不给他留。我。。。。。。‘

我是谁∽谁是我："
"
套着鸭子去戏水
","


……初恋忽然加我vx，问我为什么把他删了，说想我了，回忆以前的美好时光，一阵唏嘘。这么久了，他还能记得以前的事，我很感动，眼圈红了，跟他说：谢谢你心里还有我，可是我们再也回不去了！初恋秒回：你别误会啊，我也没想回到过去，只是觉得你删了我，怎么能知道我过得比你好呢？对了，没事你多看看我朋 友 ⭕，记得给我点赞哦

徘徊的老鹰："
"
六^_^月
","


摆摊日记：2020年6月8日     阴今日因与人抢摊位被砸，经协商赔我600元我不服上前理论被打了一耳光，后警察调解赔我1000元。今日收入1600元。[我考虑下]我好像发现了什么生财之道

花开夏盛："
"
五少爷的刀
","


自从看了王祖贤演的聂小倩后，我做梦都想讨个女gui当媳妇。想着有个女gui大人贴身跟着，天下哪有我去不得的地方。我开始夜跑，夜深人静的时候，满山遍野的乱跑，一边跑一边深情的呼唤：​小倩小倩，来吧来吧！……“小倩”​听没听到不知道，两个守果园的老头倒是被我成功的惊动了，直接告到我爸妈那里，说我是在踩 点，想 偷 他们的水果……为了证明我是清白的，我只好断了这个念想，不再跑了……可是两个老头抬着嘴到处一说，附近一带的人都开始防 贼  一样防着我，很多人都信以为真，都说五少这个人贼 眉
…
查看全文死去的帅哥："
"
社会你大爷爷
","


老家堂弟结婚，三叔买了一农用车，肉，蔬菜，海鲜之类的食材，我问三叔“疫情期间都不兴大操大办，你咋还买这些食材！”三叔一脸耿直的对我说“不大办了，我把这些肉啊菜啊！分成小份，挨家挨户送去，喜宴虽然不能一起吃了！但是规矩不能坏了！”这，，，[流鼻血][流鼻血][流鼻血]

华竹阁："
"
净心居士
","


有次因为 上 火，眼皮那儿肿了个包医生说用鸡蛋热敷几次就好了我就去市场买几个鸡蛋正好碰到同事问:你开始自己做饭了了？我顺嘴接上“买来敷”那那同事就不说话了，老板也用奇怪的眼神看着我走出市场之后，我总感觉有啥不对[捂脸][捂脸][捂脸]

叶vVv枫："
"
山鹰寂寞飞
","


那年那人山那山第三十章：机关算尽深夜秀芬醒来，只觉头疼欲裂喉咙渴的冒火，黑暗中她睁开朦胧的眼睛，什么都看不见，起身想找点水喝，猛然发觉自己没穿衣服！　　这下惊的非同小可，慌的扯上被子就往身上捂，感觉下生又是一阵疼痛！　　更揪心的是，她听到了旁边有人在打呼噜！难以置信的用手一摸，居然是一个肥胖如猪的男人！　　秀芬刺耳的惊叫一声，裹着被单差点滚着下床！她摸着开关打开了灯。　　眼前的景象让她吓傻了，被扯走被单的床上，真的有个矮胖的男人赤果果在躺着，是张光凡！　　秀芬如同见鬼，恐
…
查看全文山鹰寂寞飞："
"
半截烟云
","


那年喜欢一个男生，第 一 次出去吃饭为了吸引他的注意力，我特意穿了双十 公 分的高 跟 鞋。吃完饭我说想去海边走走​，男生说可以，不过天好像要下雨了，我说没事，要是下雨我穿高 跟  鞋 跑不动，你可以背我。男生愣着看我一眼然后点了点头。男生挺讲信用的，那天真的背我了，可是为啥后来就不理我了呢，难道是因为背我摔了一跤吗？[大哭][大哭]​

吃了两碗又盛："
"
-小门神~
","


他叫林小六，我叫李小门！他是我的师兄，也是我的死 敌！我和他一个村，同年同月同 日也同命，都是贫苦人家的孩子！当年为了给家里减少压力，我们一起辍学，又一起拜师学艺—— 唱戏！其实一开始师父只相中了他，说他嗓门清脆长得又俊秀，是个很好的唱戏苗子！反观我，其貌不扬关键还是小短腿，用师父行话讲“李小门这家伙挑不起大梁”！师父收下了他，然后挥挥手示意我:你从哪来，回哪去！想到破败的家，还等我能赚来足够多的 前 去翻修房子。我扑通一声跪在师父面前，支支吾吾也说不上话来，只是一个劲的磕头
…
查看全文我是住你的隔壁老王："
"
义行天下7
","


雨过天晴，戴上口 罩骑上电动车去菜市场买菜，路上遇一低洼积水处，小心翼翼的靠边行驶，不成想后面来一豪华轿车飞似的冲了过去，“哗”的一声水花四溅，水溅湿弄脏了我大半边衣服，看着衣服上的脏 水直往下 流，气不打一处来，望着扬长而去的轿车，狠狠地“呸”了一口痰，这时才想起自己带着口罩呢，特么自己吐 了自己 一 脸！

℡雨竹："
"
山鹰寂寞飞
","


那年那人那山第四十五章：无良医生楚建国一觉醒来，咂巴着干裂的嘴唇，虚弱的喊着：“秀良，水…水…”　　一个胖胖的护工阿姨走上前，努力挤出一个服务行业的微笑，可手上的动作明显没有培训过，没轻没重的扒拉楚建国的衣领想听他说些什么，不小心扯动了喉咙上的插管，楚建国痛得冷汗一炸，啊的一声惊叫，差点晕厥过去。　　阿姨俯身大声问道：“佛啥呢？大声点！”　　楚建国忍着脖子切口和气管放射状阵痛，艰难的扭头环视四周，不见楚秀良，撑起胳膊想努力起身寻找，终未能成功，颓丧的轰然倒下，再次晃动了脖子上的插
…
查看全文"
"
舒婉婉婉婉婉婉
","


小时候有一个神奇的技能，就是搁哪都能睡着雷都打不醒————我——是——分——割—线——————有一年夏天我大伯的儿子也就是我哥要跟他的小伙伴们出去抓龙虾钓鱼。我非要跟着去，我哥不想着带我去玩，于是他找了个比较粗的树指着这树的树杈对我说：你要是能在这个树杈上睡着我就带你去。我一看这简单啊，就同意了。爬到树杈往上面一坐椅着正好树叶还能挡太阳，我哥拿了个外套给我固定在树杈上防止掉下来，然后告诉我：好了，开始睡觉吧，过十分钟如果你睡着了就叫你起来一起玩。然后他们就走了，我就倚着树杈子听着树叶哗啦啦的迷迷
…
查看全文叶vVv枫："
"
逍遥べ胡子哥哥
","


表妹有个闺蜜，长得可好看了。尤其是那一对水灵灵的大眼睛，简直是太好看了。给表妹买了一大堆她喜欢的零食贿赂她才让她把她闺蜜约出来吃点东西，为了活跃气氛，我想了一句特别有情调的话：“你知道吗？你爸爸是个贼，他偷了这世界上最美丽的宝石做你的眼睛……”没想到，我刚对她说了前半句，她就哭着跑了。表妹把我一顿数落：“她爸爸那事你就算知道也不能拿出来说啊……”

helinger："
